"reg_id","temp_value","hum_value","created_at"
"22","20.9","61","2022-06-02 11:50:25"
"23","20.9","60","2022-06-02 11:50:26"
"24","21","60","2022-06-02 11:50:27"
"25","21","60","2022-06-02 11:50:28"
"26","21","59","2022-06-02 11:50:29"
"27","21.1","59","2022-06-02 11:50:30"
"28","21.1","59","2022-06-02 11:50:31"
"29","21","59","2022-06-02 11:50:32"
"30","21","59","2022-06-02 11:50:33"
"31","20.9","59","2022-06-02 11:50:34"
"32","21.1","59","2022-06-02 11:50:35"
"33","21.1","59","2022-06-02 11:50:36"
"34","21","59","2022-06-02 11:50:38"
"35","21.1","59","2022-06-02 11:50:39"
"36","20.9","59","2022-06-02 11:50:40"
"37","21","59","2022-06-02 11:50:41"
"38","21.1","59","2022-06-02 11:50:42"
"39","21.1","59","2022-06-02 11:50:43"
"40","21.1","58","2022-06-02 11:50:44"
"41","21","58","2022-06-02 11:50:46"
"42","21.1","58","2022-06-02 11:50:47"
"43","21","58","2022-06-02 11:50:48"
"44","21.1","58","2022-06-02 11:50:49"
"45","21.2","58","2022-06-02 11:50:50"
"46","21.1","58","2022-06-02 11:50:51"
